Round, Client Index, Execution Time (s)
43, 1, 34.3485
43, 2, 23.0567
43, 3, 64.7617
43, 4, 11.0062
43, 5, 45.5836
44, 0, 55.9038
44, 1, 65.7273
44, 2, 35.2206
44, 3, 20.8679
44, 4, 44.2326
44, 5, 9.9883
45, 0, 11.1483
45, 1, 45.9135
45, 2, 36.0801
45, 3, 21.8933
45, 4, 75.3843
45, 5, 57.1866
46, 0, 73.6902
46, 1, 39.7570
46, 2, 17.9195
46, 3, 62.4659
46, 4, 50.9848
46, 5, 28.2720
47, 0, 39.1121
47, 1, 53.8100
47, 2, 62.4098
47, 3, 10.5671
47, 4, 76.2030
47, 5, 21.4179
48, 0, 52.5165
48, 1, 67.5205
48, 2, 10.6065
48, 3, 21.4042
48, 4, 32.3640
48, 5, 41.3621
49, 0, 13.5187
49, 1, 67.2766
49, 2, 48.8972
49, 3, 39.5844
49, 4, 78.5645
49, 5, 28.8177
50, 0, 22.6500
50, 1, 47.7203
50, 2, 11.9972
50, 3, 79.4659
50, 4, 32.8057
50, 5, 65.2549
51, 0, 72.1675
51, 1, 16.9330
51, 2, 60.8034
51, 3, 36.6109
51, 4, 25.8520
51, 5, 47.1703
52, 0, 76.4842
52, 1, 61.1072
52, 2, 40.3129
52, 3, 11.8282
52, 4, 50.1214
52, 5, 29.2913
53, 0, 31.5709
53, 1, 57.1826
53, 2, 42.0439
53, 3, 70.8027
53, 4, 11.0696
53, 5, 21.0616
54, 0, 40.0466
54, 1, 75.3185
54, 2, 11.8157
54, 3, 64.6958
54, 4, 49.8538
54, 5, 30.1259
55, 0, 55.8277
55, 1, 47.3250
55, 2, 36.1858
55, 3, 66.6027
55, 4, 11.1543
55, 5, 21.2844
56, 0, 71.7039
56, 1, 10.1870
56, 2, 46.6345
56, 3, 35.7149
56, 4, 18.9624
56, 5, 61.4902
57, 0, 53.1179
57, 1, 42.8237
57, 2, 61.7813
57, 3, 75.7025
57, 4, 27.5164
57, 5, 10.1691
58, 0, 10.2946
58, 1, 73.2267
58, 2, 19.2947
58, 3, 55.9309
58, 4, 29.7554
58, 5, 40.8005
59, 0, 42.2584
59, 1, 55.8223
59, 2, 10.3090
59, 3, 31.0475
59, 4, 20.7217
59, 5, 66.3368
60, 0, 53.9767
60, 1, 25.0936
60, 2, 42.4664
60, 3, 78.9824
60, 4, 69.0521
60, 5, 11.2470
61, 0, 40.9245
61, 1, 30.5072
61, 2, 69.2144
61, 3, 21.7920
61, 4, 51.4238
61, 5, 10.2237
62, 0, 37.3691
62, 1, 58.3227
62, 2, 11.9133
62, 3, 47.5283
62, 4, 27.0768
62, 5, 68.9111
63, 0, 11.5674
63, 1, 21.6781
63, 2, 48.4920
63, 3, 73.3703
63, 4, 33.3239
63, 5, 59.2305
64, 0, 73.0608
64, 1, 17.4257
64, 2, 52.4187
64, 3, 27.6334
64, 4, 38.8341
64, 5, 63.2644
65, 0, 52.7951
65, 1, 42.4039
65, 2, 63.0408
65, 3, 11.2571
65, 4, 20.1963
65, 5, 31.1657
66, 0, 12.2040
66, 1, 35.6083
66, 2, 20.7540
66, 3, 67.2122
66, 4, 56.4678
66, 5, 46.0867
67, 0, 29.0584
67, 1, 61.5987
67, 2, 39.4320
67, 3, 49.7292
67, 4, 13.8985
67, 5, 70.3883
68, 0, 33.5514
68, 1, 44.3462
68, 2, 13.7303
68, 3, 55.0310
68, 4, 63.5359
68, 5, 23.4241
69, 0, 19.0965
69, 1, 73.6228
69, 2, 55.9619
69, 3, 10.3354
69, 4, 40.6526
69, 5, 29.8497
70, 0, 75.3161
70, 1, 39.8230
70, 2, 53.9126
70, 3, 27.5754
70, 4, 10.0927
70, 5, 64.4475
71, 0, 19.1669
71, 1, 44.1429
71, 2, 55.2720
71, 3, 30.2787
71, 4, 70.9761
71, 5, 8.8476
72, 0, 72.8788
72, 1, 36.5044
72, 2, 46.8920
72, 3, 57.5007
72, 4, 13.9016
72, 5, 24.7301
73, 0, 31.8728
73, 1, 67.0832
73, 2, 56.2455
73, 3, 9.6133
73, 4, 20.1141
73, 5, 45.7195
74, 0, 8.8106
74, 1, 68.7411
74, 2, 40.9772
74, 3, 29.7552
74, 4, 58.7130
74, 5, 18.9464
75, 0, 32.7666
75, 1, 12.1174
75, 2, 22.0831
75, 3, 46.8842
75, 4, 61.7771
75, 5, 70.2540
76, 0, 27.3040
76, 1, 62.6984
76, 2, 50.7321
76, 3, 76.7468
76, 4, 42.0052
76, 5, 9.9357
77, 0, 65.3187
77, 1, 45.7294
77, 2, 54.3767
77, 3, 29.6829
77, 4, 79.0541
77, 5, 11.3446
78, 0, 64.7871
78, 1, 11.2206
78, 2, 42.1177
78, 3, 54.0482
78, 4, 75.7677
78, 5, 24.9828
79, 0, 56.7452
79, 1, 28.9645
79, 2, 65.3881
79, 3, 75.1921
79, 4, 46.3466
79, 5, 12.7108
80, 0, 36.8690
80, 1, 25.3724
80, 2, 62.0127
80, 3, 10.5025
80, 4, 51.1884
80, 5, 72.2876
81, 0, 38.9280
81, 1, 69.1464
81, 2, 58.5365
81, 3, 10.8789
81, 4, 24.3379
81, 5, 48.7521
82, 0, 57.2305
82, 1, 68.2929
82, 2, 15.2423
82, 3, 43.2113
82, 4, 23.9113
82, 5, 33.4939
83, 0, 43.1116
83, 1, 26.0300
83, 2, 71.9886
83, 3, 53.4132
83, 4, 63.3698
83, 5, 15.5457
84, 0, 10.5021
84, 1, 20.7750
84, 2, 50.3225
84, 3, 32.3456
84, 4, 60.6834
84, 5, 74.8429
85, 0, 14.9209
85, 1, 25.2207
85, 2, 58.6163
85, 3, 69.0042
85, 4, 45.0969
85, 5, 33.7663
86, 0, 59.0110
86, 1, 49.2515
86, 2, 9.3505
86, 3, 20.6216
86, 4, 35.3734
86, 5, 68.5873
87, 0, 61.2263
87, 1, 27.9038
87, 2, 47.5666
87, 3, 17.1277
87, 4, 75.7943
87, 5, 38.7972
88, 0, 36.9009
88, 1, 49.0503
88, 2, 10.5788
88, 3, 69.7191
88, 4, 59.1881
88, 5, 27.9952
89, 0, 57.9967
89, 1, 31.3010
89, 2, 48.3851
89, 3, 9.2507
89, 4, 19.8637
89, 5, 72.5890
90, 0, 56.3315
90, 1, 23.6198
90, 2, 13.6474
90, 3, 34.3278
90, 4, 65.1961
90, 5, 44.7960
91, 0, 33.9409
91, 1, 23.6274
91, 2, 62.2433
91, 3, 51.9441
91, 4, 8.6038
91, 5, 73.3674
92, 0, 72.1394
92, 1, 61.4655
92, 2, 20.4894
92, 3, 50.4569
92, 4, 38.9656
92, 5, 9.9414
93, 0, 53.9317
93, 1, 78.3839
93, 2, 17.9347
93, 3, 44.1206
93, 4, 28.2393
93, 5, 64.5276
94, 0, 27.8262
94, 1, 64.3656
94, 2, 78.5184
94, 3, 53.8805
94, 4, 9.9955
94, 5, 38.8116
95, 0, 54.2323
95, 1, 10.9892
95, 2, 72.6632
95, 3, 21.7589
95, 4, 33.5735
95, 5, 44.2726
96, 0, 61.9618
96, 1, 25.2935
96, 2, 46.9784
96, 3, 72.7037
96, 4, 35.4523
96, 5, 10.8034
97, 0, 32.3695
97, 1, 21.6922
97, 2, 65.0825
97, 3, 11.2662
97, 4, 55.9785
97, 5, 46.1972
98, 0, 70.7021
98, 1, 56.8930
98, 2, 11.0229
98, 3, 32.8060
98, 4, 41.6946
98, 5, 21.7111
99, 0, 63.9117
99, 1, 17.5199
99, 2, 27.8769
99, 3, 74.6935
99, 4, 42.9076
99, 5, 53.6011
100, 0, 36.4535
100, 1, 62.7733
100, 2, 22.3885
100, 3, 54.3284
100, 4, 74.1146
100, 5, 11.3601
101, 0, 56.1118
101, 1, 71.8710
101, 2, 11.3022
101, 3, 44.8948
101, 4, 34.0073
101, 5, 22.0032
102, 0, 77.9176
102, 1, 40.6290
102, 2, 49.5420
102, 3, 15.1665
102, 4, 26.7791
102, 5, 60.6723
103, 0, 32.0728
103, 1, 78.7664
103, 2, 11.6415
103, 3, 63.2360
103, 4, 22.0084
103, 5, 49.4803
104, 0, 32.8180
104, 1, 43.5696
104, 2, 75.4726
104, 3, 54.2733
104, 4, 64.0113
104, 5, 15.0308
105, 0, 25.5904
105, 1, 59.7020
105, 2, 11.4661
105, 3, 47.5926
105, 4, 36.4070
105, 5, 78.0631
106, 0, 11.3864
106, 1, 30.5555
106, 2, 62.8295
106, 3, 22.0069
106, 4, 74.1025
106, 5, 47.6432
107, 0, 25.9213
107, 1, 60.9038
107, 2, 46.2139
107, 3, 35.8978
107, 4, 77.7887
107, 5, 14.5887
108, 0, 66.3916
108, 1, 10.3848
108, 2, 27.1659
108, 3, 37.2057
108, 4, 57.2351
108, 5, 46.8803
109, 0, 35.7398
109, 1, 16.9729
109, 2, 67.0449
109, 3, 27.1960
109, 4, 46.6920
109, 5, 56.9374
110, 0, 29.4780
110, 1, 19.9048
110, 2, 56.3208
110, 3, 10.4733
110, 4, 66.4746
