Round, Client Index, Execution Time (s)
0, 0, 32.9336
0, 1, 16.6044
0, 2, 24.6445
0, 3, 8.5882
0, 4, 40.6774
1, 0, 8.2383
1, 1, 32.2931
1, 2, 40.3298
1, 3, 24.2684
1, 4, 16.2477
2, 0, 32.4484
2, 1, 24.3841
2, 2, 40.4912
2, 3, 16.3366
2, 4, 8.3353
3, 0, 40.8993
3, 1, 8.6272
3, 2, 16.6876
3, 3, 32.8353
3, 4, 24.7598
4, 0, 24.2453
4, 1, 16.1945
4, 2, 8.1603
4, 3, 32.3019
4, 4, 40.3636
5, 0, 24.5055
5, 1, 16.4548
5, 2, 32.5620
5, 3, 8.4174
5, 4, 40.6045
6, 0, 32.3832
6, 1, 24.3398
6, 2, 16.2978
6, 3, 8.3227
6, 4, 40.4260
7, 0, 8.7135
7, 1, 16.6788
7, 2, 40.7723
7, 3, 32.7261
7, 4, 24.6588
8, 0, 32.1812
8, 1, 8.2360
8, 2, 16.2266
8, 3, 24.1974
8, 4, 40.1959
9, 0, 41.2541
9, 1, 25.2302
9, 2, 17.2001
9, 3, 9.1874
9, 4, 33.2562
