Round, Client Index, Execution Time (s)
50, 3, 22.6309
50, 4, 16.4717
51, 0, 32.6919
51, 1, 19.6356
51, 2, 41.1579
51, 3, 25.7951
51, 4, 10.0369
52, 0, 40.4217
52, 1, 26.4065
52, 2, 33.9273
52, 3, 8.8789
52, 4, 18.5425
53, 0, 18.0940
53, 1, 38.5554
53, 2, 34.8144
53, 3, 10.1604
53, 4, 24.9842
54, 0, 28.6443
54, 1, 15.2562
54, 2, 6.8017
54, 3, 24.9133
54, 4, 35.5458
55, 0, 10.1860
55, 1, 25.0210
55, 2, 34.7805
55, 3, 18.1238
55, 4, 40.9391
56, 0, 31.4112
56, 1, 9.9806
56, 2, 37.5713
56, 3, 19.7391
56, 4, 27.6740
57, 0, 34.8962
57, 1, 14.5559
57, 2, 18.2676
57, 3, 8.4309
57, 4, 27.9954
58, 0, 7.1326
58, 1, 15.0533
58, 2, 28.7419
58, 3, 22.5822
58, 4, 37.2005
59, 0, 12.1641
59, 1, 8.4216
59, 2, 19.0767
59, 3, 26.6216
59, 4, 36.4053
60, 0, 25.5728
60, 1, 34.0254
60, 2, 8.3237
60, 3, 18.0546
60, 4, 43.6832
61, 0, 41.8760
61, 1, 32.1127
61, 2, 8.6618
61, 3, 14.7798
61, 4, 24.5909
62, 0, 36.0033
62, 1, 21.0268
62, 2, 27.5264
62, 3, 13.1563
62, 4, 7.0355
63, 0, 18.8414
63, 1, 28.5106
63, 2, 8.5846
63, 3, 15.0993
63, 4, 38.2997
64, 0, 36.9352
64, 1, 29.0139
64, 2, 8.8289
64, 3, 22.5049
64, 4, 16.3471
65, 0, 17.8274
65, 1, 9.9014
65, 2, 26.2909
65, 3, 30.0295
65, 4, 39.6881
66, 0, 36.4705
66, 1, 18.3275
66, 2, 10.4291
66, 3, 6.7113
66, 4, 27.9897
67, 0, 8.7440
67, 1, 30.7131
67, 2, 18.5349
67, 3, 26.9670
67, 4, 37.2424
68, 0, 33.6347
68, 1, 16.4101
68, 2, 9.8883
68, 3, 26.0919
68, 4, 40.5490
69, 0, 25.3965
69, 1, 15.7348
69, 2, 7.8360
69, 3, 35.2948
69, 4, 29.1294
70, 0, 21.5356
70, 1, 8.4633
70, 2, 35.1305
70, 3, 31.3870
70, 4, 14.6278
71, 0, 26.0008
71, 1, 8.8772
71, 2, 18.4892
71, 3, 29.7386
71, 4, 39.5193
72, 0, 34.7692
72, 1, 41.2892
72, 2, 8.3408
72, 3, 27.8800
