Round, Client Index, Execution Time (s)
1, 0, 31.4087
1, 1, 43.7052
1, 2, 51.1482
2, 0, 33.8882
2, 1, 7.4906
2, 2, 25.6451
3, 0, 15.2897
3, 1, 38.3622
3, 2, 22.7176
4, 0, 42.8964
4, 1, 19.0647
4, 2, 30.5754
5, 0, 20.7144
5, 1, 13.1479
5, 2, 29.1604
6, 0, 34.6086
6, 1, 19.4700
6, 2, 42.9114
7, 0, 9.0996
7, 1, 35.6303
7, 2, 20.4781
8, 0, 24.9198
8, 1, 9.3338
8, 2, 32.4813
9, 0, 8.0402
9, 1, 22.9624
9, 2, 29.3895
10, 0, 11.6525
10, 1, 26.4312
10, 2, 20.0356
11, 0, 15.7112
11, 1, 26.9293
11, 2, 35.3779
12, 0, 16.5435
12, 1, 22.9943
12, 2, 8.4294
13, 0, 6.7794
13, 1, 22.0320
13, 2, 36.9965
14, 0, 30.7097
14, 1, 38.0379
14, 2, 15.8699
15, 0, 37.5094
15, 1, 19.4145
15, 2, 12.0339
16, 0, 35.2518
16, 1, 9.4960
16, 2, 27.7945
17, 0, 19.8245
17, 1, 35.0675
17, 2, 8.6236
18, 0, 23.7403
18, 1, 31.2252
18, 2, 15.2672
19, 0, 15.3214
19, 1, 26.5755
19, 2, 8.7866
20, 0, 15.8029
20, 1, 34.0750
20, 2, 8.4314
21, 0, 15.4960
21, 1, 26.6725
21, 2, 34.7531
22, 0, 23.6761
22, 1, 11.5937
22, 2, 29.9254
23, 0, 21.6445
23, 1, 36.7299
23, 2, 6.6004
24, 0, 19.6623
24, 1, 7.7105
24, 2, 30.8168
25, 0, 14.9226
25, 1, 29.9178
25, 2, 7.6157
26, 0, 17.7048
26, 1, 25.8172
26, 2, 6.6704
27, 0, 7.2726
27, 1, 22.7328
27, 2, 14.5688
28, 0, 33.3433
28, 1, 25.4056
28, 2, 18.1500
29, 0, 31.4763
29, 1, 25.2194
29, 2, 7.3575
30, 0, 26.7034
30, 1, 18.5772
30, 2, 11.3514
31, 0, 19.9058
31, 1, 31.0358
31, 2, 8.0170
32, 0, 18.8252
32, 1, 41.6120
32, 2, 26.9519
33, 0, 22.2402
33, 1, 8.7775
33, 2, 15.9961
34, 0, 8.9987
34, 1, 26.7560
34, 2, 35.0231
35, 0, 26.3289
35, 1, 19.0595
35, 2, 33.5695
36, 0, 8.2456
36, 1, 34.4070
36, 2, 26.2738
37, 0, 16.6226
37, 1, 23.8645
37, 2, 9.3544
38, 0, 6.4608
38, 1, 29.4542
38, 2, 17.5599
39, 0, 25.5977
39, 1, 14.4471
39, 2, 8.1840
40, 0, 8.6711
40, 1, 19.8871
40, 2, 37.7010
41, 0, 7.9041
41, 1, 19.1109
41, 2, 31.0987
42, 0, 23.5614
42, 1, 31.5636
42, 2, 12.4637
43, 0, 40.5220
43, 1, 25.4083
43, 2, 7.3242
44, 0, 12.2680
44, 1, 34.4817
44, 2, 19.4748
45, 0, 32.6620
45, 1, 18.0064
45, 2, 40.0194
46, 0, 16.7307
46, 1, 27.9073
46, 2, 35.8874
47, 0, 30.7675
47, 1, 12.4958
47, 2, 45.5302
48, 0, 15.8526
48, 1, 24.0730
48, 2, 7.8852
49, 0, 20.9682
49, 1, 14.6772
49, 2, 39.1337
50, 0, 16.7065
50, 1, 9.4918
50, 2, 23.9846
51, 0, 26.2072
51, 1, 11.9692
51, 2, 19.9343
52, 0, 22.9039
52, 1, 15.6671
52, 2, 33.9993
53, 0, 17.7657
53, 1, 35.7034
53, 2, 6.5441
54, 0, 30.7897
54, 1, 23.4763
54, 2, 8.4278
55, 0, 30.9871
55, 1, 23.7499
55, 2, 8.7731
56, 0, 26.1804
56, 1, 33.5566
56, 2, 11.3265
57, 0, 33.9260
57, 1, 18.4830
57, 2, 40.1980
58, 0, 24.5996
58, 1, 18.3011
58, 2, 35.8925
59, 0, 13.4042
59, 1, 36.5818
59, 2, 21.5411
60, 0, 13.0776
60, 1, 30.9345
60, 2, 38.8711
61, 0, 7.8561
61, 1, 22.7715
61, 2, 30.0155
62, 0, 8.2617
62, 1, 16.4276
62, 2, 31.4903
63, 0, 31.3849
63, 1, 23.1174
63, 2, 7.8667
64, 0, 8.5035
64, 1, 23.6919
64, 2, 38.5004
65, 0, 12.2082
65, 1, 34.2406
65, 2, 19.5504
66, 0, 6.4915
66, 1, 36.6229
66, 2, 24.6363
67, 0, 41.8638
67, 1, 29.8261
67, 2, 18.6557
68, 0, 20.5231
68, 1, 27.7711
68, 2, 12.5698
69, 0, 33.5694
69, 1, 15.3627
69, 2, 27.3185
70, 0, 26.4011
70, 1, 7.9504
70, 2, 20.1238
71, 0, 26.0194
71, 1, 43.8775
71, 2, 14.7520
72, 0, 8.2446
72, 1, 14.6752
72, 2, 29.4807
73, 0, 33.4174
73, 1, 27.1053
73, 2, 12.3667
74, 0, 12.0920
74, 1, 33.0523
74, 2, 18.3343
75, 0, 28.7675
75, 1, 13.5430
75, 2, 6.2945
76, 0, 26.2690
76, 1, 18.1020
76, 2, 34.2382
77, 0, 7.2693
77, 1, 40.8908
77, 2, 25.7738
78, 0, 23.5333
78, 1, 16.3152
78, 2, 34.6263
79, 0, 22.5758
79, 1, 16.3783
79, 2, 9.0215
80, 0, 6.2713
80, 1, 21.4134
80, 2, 13.4321
81, 0, 14.4941
81, 1, 32.3383
81, 2, 7.3609
82, 0, 26.3106
82, 1, 8.4099
82, 2, 32.7697
83, 0, 19.2201
83, 1, 7.3692
83, 2, 26.5470
84, 0, 18.8582
84, 1, 7.7977
84, 2, 26.0279
85, 0, 24.0591
85, 1, 9.0303
85, 2, 42.1518
86, 0, 11.5672
86, 1, 33.9183
86, 2, 26.6763
87, 0, 26.1978
87, 1, 15.1200
87, 2, 32.5099
88, 0, 21.9855
88, 1, 14.7124
88, 2, 28.2625
89, 0, 23.1457
89, 1, 8.4118
89, 2, 31.4414
90, 0, 28.8343
90, 1, 21.5645
90, 2, 15.3598
91, 0, 7.4171
91, 1, 14.6397
91, 2, 25.5564
92, 0, 22.7413
92, 1, 29.0203
92, 2, 8.1626
93, 0, 29.9937
93, 1, 14.9830
93, 2, 7.7140
94, 0, 29.2572
94, 1, 22.8822
94, 2, 7.8053
95, 0, 6.8896
95, 1, 15.1463
95, 2, 29.6706
96, 0, 33.0187
96, 1, 26.6643
96, 2, 14.8479
97, 0, 39.1976
97, 1, 21.1836
97, 2, 14.9944
98, 0, 15.5903
98, 1, 26.6850
98, 2, 33.8926
99, 0, 14.6922
99, 1, 21.8505
99, 2, 8.4114
100, 0, 30.2453
100, 1, 15.4834
100, 2, 41.3612
101, 0, 16.5197
101, 1, 34.3416
101, 2, 8.5927
102, 0, 26.5156
102, 1, 15.3104
102, 2, 41.4823
103, 0, 6.6608
103, 1, 29.7701
103, 2, 21.8721
104, 0, 26.8480
104, 1, 18.7016
104, 2, 41.6929
105, 0, 13.0361
105, 1, 20.4022
105, 2, 26.7961
106, 0, 21.3950
106, 1, 28.6241
106, 2, 15.0941
107, 0, 39.6194
107, 1, 32.4433
107, 2, 14.7929
108, 0, 26.6346
108, 1, 19.3529
108, 2, 8.1129
109, 0, 24.7744
109, 1, 11.2856
109, 2, 18.5146
110, 0, 11.7050
110, 1, 30.7229
110, 2, 23.5500
111, 0, 24.1419
111, 1, 9.0725
111, 2, 30.5943
112, 0, 19.7107
112, 1, 25.9339
112, 2, 12.4943
113, 0, 33.1515
113, 1, 18.1185
113, 2, 40.3366
114, 0, 6.4827
114, 1, 36.0527
114, 2, 21.0555
115, 0, 28.2319
115, 1, 12.1777
115, 2, 20.3005
116, 0, 15.3937
116, 1, 26.4634
116, 2, 34.4679
117, 0, 22.8099
117, 1, 7.6980
117, 2, 34.7257
118, 0, 8.3856
118, 1, 16.2882
118, 2, 30.8737
119, 0, 32.7385
119, 1, 39.9370
119, 2, 18.0366
120, 0, 8.3074
120, 1, 22.9616
120, 2, 29.2125
