Round,ClientIndex,ExecutionTime(s)
1,0,92.684591
1,1,33.190166
1,2,85.943446
1,3,80.632562
1,4,86.533333
1,5,92.099322
1,6,41.339602
1,7,61.341577
2,0,76.001543
2,1,64.059837
2,2,88.893142
2,3,52.103089
2,4,79.757705
2,5,64.714997
2,6,53.235874
2,7,49.970565
3,0,75.025685
3,1,73.871521
3,2,92.123360
3,3,79.392904
3,4,41.056555
3,5,83.746682
3,6,37.850536
3,7,46.640597
4,0,74.065269
4,1,43.899555
4,2,57.780086
4,3,33.111820
4,4,54.933964
4,5,86.582881
4,6,79.509465
4,7,51.761653
5,0,39.673152
5,1,76.979751
5,2,38.186811
5,3,63.322149
5,4,73.437630
5,5,33.510483
5,6,70.670168
5,7,83.646639
6,0,24.794858
6,1,57.419351
6,2,42.743035
6,3,74.873677
6,4,36.847756
6,5,65.858948
6,6,51.746361
6,7,53.607097
7,0,27.879064
7,1,65.365755
7,2,65.024396
7,3,39.010273
7,4,57.933360
7,5,91.009227
7,6,92.953936
7,7,65.287868
8,0,77.330753
8,1,55.376948
8,2,91.479434
8,3,25.531847
8,4,74.091815
8,5,81.516993
8,6,47.594471
8,7,87.291469
9,0,45.683853
9,1,70.072558
9,2,60.280931
9,3,86.347401
9,4,56.818558
9,5,92.498148
9,6,85.336007
9,7,53.983066
10,0,51.056847
10,1,80.159210
10,2,44.978163
10,3,72.702691
10,4,78.161283
10,5,84.285009
10,6,81.958160
10,7,66.306042
11,0,64.710802
11,1,45.888247
11,2,87.665978
11,3,51.547784
11,4,92.834821
11,5,59.494348
11,6,28.741449
11,7,82.332036
12,0,34.441228
12,1,44.667285
12,2,25.258702
12,3,71.479253
12,4,56.386163
12,5,88.935277
12,6,82.015976
12,7,62.403869
13,0,37.339387
13,1,28.012480
13,2,51.690039
13,3,43.233293
13,4,75.131224
13,5,73.170568
13,6,44.723482
13,7,68.280497
14,0,76.954278
14,1,36.347618
14,2,34.587189
14,3,61.480986
14,4,94.649193
14,5,86.502810
14,6,73.311491
14,7,83.027589
15,0,38.308748
15,1,61.318260
15,2,59.846977
15,3,60.648117
15,4,32.836901
15,5,66.066330
15,6,70.330820
15,7,64.672575
16,0,68.851085
16,1,44.877548
16,2,46.028009
16,3,30.560802
16,4,33.604506
16,5,84.313440
16,6,69.939583
16,7,83.155532
17,0,80.674710
17,1,35.257658
17,2,52.685545
17,3,69.379908
17,4,25.736181
17,5,79.906226
17,6,88.620895
17,7,81.537066
18,0,72.095271
18,1,59.732472
18,2,48.958380
18,3,82.084543
18,4,91.849582
18,5,32.434824
18,6,51.978367
18,7,74.974945
19,0,66.588349
19,1,71.189133
19,2,52.532632
19,3,72.140740
19,4,32.092664
19,5,75.420341
19,6,71.290651
19,7,49.203370
20,0,38.319451
20,1,67.600879
20,2,38.227391
20,3,31.829168
20,4,49.061336
20,5,61.493087
20,6,32.544933
20,7,76.790412
21,0,63.695497
21,1,25.570290
21,2,50.293554
21,3,54.013788
21,4,73.963845
21,5,73.042300
21,6,56.635634
21,7,79.741104
22,0,65.341245
22,1,39.104825
22,2,36.874311
22,3,86.845596
22,4,40.617065
22,5,74.996660
22,6,72.837356
22,7,81.895464
23,0,59.528673
23,1,66.245009
23,2,38.476413
23,3,25.763644
23,4,81.917617
23,5,77.966662
23,6,47.866306
23,7,83.207369
24,0,39.559233
24,1,75.510979
24,2,44.440224
24,3,25.298274
24,4,78.578387
24,5,79.790234
24,6,77.187995
24,7,70.458605
25,0,36.000590
25,1,37.100453
25,2,76.428806
25,3,31.659425
25,4,37.577912
25,5,84.941208
25,6,59.855717
25,7,81.213293
26,0,60.031470
26,1,69.927256
26,2,51.989161
26,3,36.304638
26,4,60.477900
26,5,49.524005
26,6,75.512326
26,7,84.434205
27,0,53.578516
27,1,59.660255
27,2,45.475140
27,3,43.841567
27,4,62.174292
27,5,25.124306
27,6,69.970556
27,7,45.981379
28,0,27.955754
28,1,63.758573
28,2,79.593073
28,3,53.370308
28,4,31.761751
28,5,88.439333
28,6,77.909971
28,7,84.473552
29,0,58.097640
29,1,58.780272
29,2,70.526786
29,3,40.600037
29,4,92.748917
29,5,39.886122
29,6,84.387498
29,7,85.824130
30,0,88.251363
30,1,39.542203
30,2,73.612665
30,3,33.585917
30,4,79.671896
30,5,90.363436
30,6,66.867291
30,7,59.248818
31,0,58.211604
31,1,59.438884
31,2,70.078266
31,3,70.981585
31,4,24.939860
31,5,80.025688
31,6,45.683311
31,7,90.043949
32,0,38.342627
32,1,46.312166
32,2,27.836740
32,3,43.392816
32,4,85.296196
32,5,32.180308
32,6,78.078611
32,7,82.975163
33,0,31.474432
33,1,25.170482
33,2,53.832948
33,3,62.478438
33,4,78.210956
33,5,85.004993
33,6,82.523903
33,7,75.602137
34,0,40.548271
34,1,84.229917
34,2,79.412664
34,3,77.991337
34,4,79.116185
34,5,33.350846
34,6,92.971343
34,7,87.659222
35,0,37.914385
35,1,42.392477
35,2,85.431803
35,3,83.374228
35,4,66.732245
35,5,51.434440
35,6,27.420726
35,7,75.884649
36,0,70.193043
36,1,55.023802
36,2,30.193686
36,3,48.085363
36,4,26.187985
36,5,76.425286
36,6,84.825469
36,7,74.958109
37,0,52.602516
37,1,39.886820
37,2,60.831877
37,3,89.191466
37,4,75.275228
37,5,76.609673
37,6,92.017263
37,7,94.527310
38,0,83.775264
38,1,56.928210
38,2,50.759116
38,3,36.776525
38,4,76.990131
38,5,67.118096
38,6,83.553504
38,7,70.120014
39,0,80.706508
39,1,73.194972
39,2,36.645015
39,3,68.544855
39,4,50.975642
39,5,78.971753
39,6,85.999014
39,7,84.387433
40,0,28.303290
40,1,88.974050
40,2,78.313351
40,3,54.279567
40,4,89.821262
40,5,36.867838
40,6,37.714074
40,7,91.039734
41,0,43.292583
41,1,68.115782
41,2,50.436656
41,3,69.357241
41,4,27.835689
41,5,46.290266
41,6,72.766905
41,7,84.404715
42,0,56.832630
42,1,30.953603
42,2,85.535381
42,3,47.470533
42,4,60.020097
42,5,90.044845
42,6,60.615461
42,7,73.238770
43,0,69.365699
43,1,54.476683
43,2,41.115422
43,3,75.258449
43,4,86.858348
43,5,78.152492
43,6,51.143716
43,7,69.512072
44,0,26.370163
44,1,61.892633
44,2,59.803356
44,3,38.836477
44,4,75.741289
44,5,36.816500
44,6,81.092584
44,7,51.140265
45,0,28.032749
45,1,56.390880
45,2,38.357410
45,3,57.182433
45,4,44.430756
45,5,79.955874
45,6,83.085393
45,7,76.974203
46,0,40.452313
46,1,75.476238
46,2,62.674655
46,3,51.633843
46,4,72.806860
46,5,73.813840
46,6,60.884542
46,7,49.342837
47,0,58.483897
47,1,37.744112
47,2,75.319723
47,3,90.059161
47,4,53.534373
47,5,89.579829
47,6,85.314824
47,7,27.625113
48,0,27.475583
48,1,90.876026
48,2,70.554102
48,3,41.972069
48,4,32.567858
48,5,90.507254
48,6,47.087001
48,7,92.458677
49,0,31.107367
49,1,58.657336
49,2,36.434637
49,3,80.699765
49,4,90.441923
49,5,86.292765
49,6,65.900170
49,7,91.944603
50,0,65.794173
50,1,50.432424
50,2,57.384479
50,3,53.031376
50,4,71.089601
50,5,81.252328
50,6,35.845970
50,7,59.586268
51,0,83.904581
51,1,53.763778
51,2,85.569813
51,3,38.001060
51,4,28.771143
51,5,88.381600
