Round, Client Index, Execution Time (s)
1, 0, 43.7754
1, 1, 16.1613
1, 2, 67.7737
1, 3, 77.5075
1, 4, 31.2941
1, 5, 90.8646
1, 6, 55.0192
1, 7, 101.7627
2, 0, 66.6404
2, 1, 92.7471
2, 2, 43.7444
2, 3, 32.1711
2, 4, 79.3699
2, 5, 24.4062
2, 6, 15.3495
2, 7, 54.4084
3, 0, 23.1677
3, 1, 91.4444
3, 2, 78.6311
3, 3, 59.9123
3, 4, 52.1101
3, 5, 68.8829
3, 6, 36.8430
3, 7, 12.4549
4, 0, 93.3323
4, 1, 58.0618
4, 2, 29.6798
4, 3, 42.8306
4, 4, 83.5668
4, 5, 71.4598
4, 6, 7.3627
4, 7, 18.1075
5, 0, 66.9659
5, 1, 31.7342
5, 2, 91.0797
5, 3, 12.8902
5, 4, 54.8024
5, 5, 80.2818
5, 6, 47.0837
5, 7, 22.7161
6, 0, 7.9176
6, 1, 86.5485
6, 2, 17.8438
6, 3, 62.3236
6, 4, 24.7191
6, 5, 71.5184
6, 6, 37.4258
6, 7, 50.8215
7, 0, 86.6568
7, 1, 24.9992
7, 2, 49.8053
7, 3, 15.2905
7, 4, 66.3904
7, 5, 57.4164
7, 6, 37.6820
7, 7, 79.8014
8, 0, 71.3681
8, 1, 24.4745
8, 2, 47.1877
8, 3, 54.0627
8, 4, 12.9527
8, 5, 35.0792
8, 6, 63.7055
8, 7, 84.7938
9, 0, 38.0455
9, 1, 15.6755
9, 2, 25.4285
9, 3, 78.1860
9, 4, 50.1666
9, 5, 59.0480
9, 6, 88.7697
9, 7, 70.4888
10, 0, 64.5679
10, 1, 46.7746
10, 2, 18.8123
10, 3, 76.6786
10, 4, 85.8242
10, 5, 33.8293
10, 6, 7.2799
10, 7, 56.7830
11, 0, 76.3783
11, 1, 65.0548
11, 2, 15.2186
11, 3, 27.9066
11, 4, 47.5081
11, 5, 54.4105
11, 6, 86.2604
11, 7, 39.8705
12, 0, 56.2248
12, 1, 12.6728
12, 2, 82.5739
12, 3, 23.1906
12, 4, 30.0444
12, 5, 46.5015
12, 6, 38.9324
12, 7, 67.5751
13, 0, 73.2997
13, 1, 88.2438
13, 2, 23.2407
13, 3, 55.1822
13, 4, 34.4613
13, 5, 10.2030
13, 6, 62.8137
13, 7, 46.3385
14, 0, 47.5021
14, 1, 34.4776
14, 2, 66.0071
14, 3, 10.5849
14, 4, 57.0736
14, 5, 85.7107
14, 6, 73.6171
14, 7, 23.2440
15, 0, 89.2738
15, 1, 20.3913
15, 2, 42.1321
15, 3, 55.3326
15, 4, 35.3975
15, 5, 76.6877
15, 6, 8.9010
15, 7, 67.1347
16, 0, 62.7800
16, 1, 53.7741
16, 2, 44.2113
16, 3, 13.2258
16, 4, 70.3939
16, 5, 20.0402
16, 6, 31.4620
16, 7, 80.9231
17, 0, 10.5382
17, 1, 80.5543
17, 2, 22.4124
17, 3, 88.1649
17, 4, 47.0814
17, 5, 37.4898
17, 6, 55.9269
17, 7, 69.2352
18, 0, 7.7441
18, 1, 70.0225
18, 2, 50.1819
18, 3, 28.4935
18, 4, 56.9212
18, 5, 16.5912
18, 6, 39.7352
18, 7, 82.5670
19, 0, 24.4655
19, 1, 39.4024
19, 2, 74.2885
19, 3, 88.8537
19, 4, 81.2050
19, 5, 11.9299
19, 6, 63.7745
19, 7, 50.6906
20, 0, 27.9542
20, 1, 60.0555
20, 2, 80.9095
20, 3, 16.5859
20, 4, 7.0214
20, 5, 47.3201
20, 6, 38.4678
20, 7, 67.7634
21, 0, 65.0705
21, 1, 15.3504
21, 2, 76.3743
21, 3, 40.6637
21, 4, 89.7356
21, 5, 22.2951
21, 6, 52.5222
21, 7, 31.8606
22, 0, 33.7024
22, 1, 88.6036
22, 2, 21.1939
22, 3, 56.3847
22, 4, 46.7921
22, 5, 78.0359
22, 6, 12.3600
22, 7, 63.1712
23, 0, 63.4012
23, 1, 14.4331
23, 2, 82.7054
23, 3, 73.8459
23, 4, 27.1130
23, 5, 7.6475
23, 6, 40.2297
23, 7, 52.1024
24, 0, 60.7010
24, 1, 83.2530
24, 2, 34.5598
24, 3, 23.2751
24, 4, 41.3062
24, 5, 10.6965
24, 6, 70.2413
24, 7, 48.8373
25, 0, 89.9328
25, 1, 42.3245
25, 2, 49.9020
25, 3, 74.8520
