Round,ClientIndex,ExecutionTime(s)
1,0,55.253383
1,1,48.576970
1,2,73.715815
1,3,80.835362
1,4,70.194069
1,5,38.930318
2,0,50.859948
2,1,75.230640
2,2,47.660708
2,3,61.374346
2,4,59.261686
2,5,63.779159
3,0,76.881074
3,1,71.677983
3,2,71.716317
3,3,54.358886
3,4,72.026013
3,5,29.940240
4,0,62.810154
4,1,52.739283
4,2,53.949684
4,3,43.027451
4,4,25.494561
4,5,43.091605
5,0,48.846463
5,1,46.173801
5,2,46.538732
5,3,56.416494
5,4,52.421261
5,5,39.407420
6,0,31.331400
6,1,47.322685
6,2,53.043614
6,3,52.005633
6,4,59.987464
6,5,61.679217
7,0,53.787352
7,1,43.831497
7,2,29.116335
7,3,51.673549
7,4,49.979320
7,5,33.286968
8,0,29.151283
8,1,37.024137
8,2,69.460738
8,3,60.277036
8,4,54.591007
8,5,65.767153
9,0,70.334357
9,1,67.357746
9,2,62.552353
9,3,65.953130
9,4,61.784354
9,5,53.417980
10,0,70.964962
10,1,57.507892
10,2,75.899617
10,3,59.823578
10,4,55.353964
10,5,39.013055
11,0,57.504170
11,1,58.930486
11,2,31.024908
11,3,53.641101
11,4,43.869111
11,5,55.251615
12,0,29.672585
12,1,39.174000
12,2,50.781784
12,3,58.890716
12,4,59.308870
12,5,23.917380
13,0,23.308389
13,1,49.007812
13,2,40.564777
13,3,52.580840
13,4,60.296679
13,5,33.596891
14,0,23.867760
14,1,33.751746
14,2,54.822345
14,3,39.063014
14,4,44.150319
14,5,42.382691
15,0,49.858699
15,1,37.535307
15,2,46.051660
15,3,71.766590
15,4,78.037091
15,5,72.441462
16,0,33.697152
16,1,53.498450
16,2,48.299874
16,3,56.530830
16,4,42.118978
16,5,53.005645
17,0,58.668125
17,1,29.270497
17,2,47.941863
17,3,56.354144
17,4,53.758078
17,5,43.459559
18,0,38.165985
18,1,65.963177
18,2,36.030068
18,3,50.743333
18,4,71.906275
18,5,49.500283
19,0,51.428599
19,1,44.220195
19,2,25.613257
19,3,60.570607
19,4,36.448459
19,5,53.810003
20,0,58.982715
20,1,43.343040
20,2,47.353676
20,3,49.845160
20,4,55.928911
20,5,53.732975
21,0,56.633451
21,1,65.079979
21,2,34.357167
21,3,62.828701
21,4,59.328679
21,5,26.564886
22,0,69.958417
22,1,35.561325
22,2,30.688624
22,3,60.017062
22,4,71.831928
22,5,72.078651
23,0,62.210446
23,1,26.296740
23,2,55.871134
23,3,53.061677
23,4,52.164924
23,5,36.059701
24,0,57.152453
24,1,35.013511
24,2,57.957971
24,3,24.360307
24,4,50.551608
24,5,35.878286
25,0,26.768010
25,1,46.799433
25,2,54.509971
25,3,59.947710
25,4,61.872757
25,5,52.702255
26,0,26.465983
26,1,55.514663
26,2,55.813595
26,3,35.289628
26,4,53.708218
26,5,31.306590
27,0,52.253761
27,1,31.880245
27,2,40.989909
27,3,51.360010
27,4,42.902320
27,5,51.174809
28,0,50.203406
28,1,29.199437
28,2,42.971778
28,3,61.431818
28,4,53.581419
28,5,26.422472
29,0,58.156788
29,1,44.156924
29,2,34.286910
29,3,24.484499
29,4,57.774322
29,5,35.875553
30,0,50.262932
30,1,67.573292
30,2,78.290131
30,3,76.196738
30,4,78.144276
30,5,78.242608
31,0,37.682879
31,1,56.673997
31,2,37.329267
31,3,47.925362
31,4,46.244636
31,5,38.202353
32,0,56.394645
32,1,58.754788
32,2,29.707669
32,3,48.902775
32,4,60.416380
32,5,64.849402
33,0,41.917576
33,1,56.343012
33,2,49.058505
33,3,32.600330
33,4,65.290781
33,5,29.750990
34,0,43.755767
34,1,65.859686
34,2,62.500401
34,3,49.234726
34,4,55.759174
34,5,65.788471
35,0,65.014330
35,1,64.795887
35,2,35.465761
35,3,63.595184
35,4,52.382672
35,5,34.820840
36,0,33.087276
36,1,24.847038
36,2,47.032370
36,3,43.029736
36,4,48.367404
36,5,53.350591
37,0,24.586057
37,1,57.979567
37,2,45.607159
37,3,66.168174
37,4,48.346941
37,5,40.236793
38,0,54.430153
38,1,29.871253
38,2,68.377117
38,3,76.823541
38,4,66.718381
38,5,70.016325
39,0,79.135826
39,1,26.738731
39,2,79.532483
39,3,43.418520
39,4,77.189436
39,5,79.197152
40,0,41.977837
40,1,66.454003
40,2,89.958905
40,3,80.079102
40,4,91.362499
40,5,90.136896
41,0,40.316473
41,1,52.218200
41,2,38.101533
41,3,62.554507
41,4,30.122281
41,5,70.451686
42,0,45.067592
42,1,72.926287
42,2,72.956629
42,3,74.612691
42,4,75.784109
42,5,66.154358
43,0,31.491992
43,1,44.963193
43,2,62.170442
43,3,40.278757
43,4,83.414902
43,5,89.765231
44,0,67.223303
44,1,41.217102
44,2,71.280326
44,3,38.055718
44,4,50.685557
44,5,57.903647
45,0,56.968387
45,1,58.553418
45,2,50.112301
45,3,55.631662
45,4,24.426379
45,5,34.583680
46,0,61.326459
46,1,42.042581
46,2,60.209495
46,3,57.786627
46,4,29.668907
46,5,37.556008
47,0,29.530120
47,1,37.193305
47,2,52.957848
47,3,53.013706
47,4,64.413154
47,5,58.549014
48,0,40.933881
48,1,26.765866
48,2,61.124444
48,3,69.826103
