Round, Client Index, Execution Time (s)
0, 0, 46.8252
0, 1, 20.3088
0, 2, 26.5820
0, 3, 12.3049
0, 4, 34.4159
1, 0, 20.2116
1, 1, 26.4589
1, 2, 33.2691
1, 3, 16.6428
1, 4, 8.8841
2, 0, 26.6004
2, 1, 37.8926
2, 2, 6.5615
2, 3, 16.2323
2, 4, 19.7874
3, 0, 22.1332
3, 1, 8.1825
3, 2, 15.9233
3, 3, 33.4280
3, 4, 37.0014
4, 0, 36.4621
4, 1, 29.6511
4, 2, 21.2983
4, 3, 10.0108
4, 4, 6.6937
5, 0, 26.4227
5, 1, 7.9735
5, 2, 16.3066
5, 3, 37.7167
5, 4, 23.1100
6, 0, 23.4144
6, 1, 8.6295
6, 2, 46.9158
6, 3, 15.4592
6, 4, 35.5853
7, 0, 18.0610
7, 1, 7.9168
7, 2, 14.7369
7, 3, 30.2166
7, 4, 38.5957
8, 0, 12.5060
8, 1, 8.9606
8, 2, 20.2545
8, 3, 28.1968
8, 4, 39.4933
9, 0, 8.1486
9, 1, 17.8394
9, 2, 36.2821
9, 3, 24.6144
9, 4, 32.9603
10, 0, 20.2110
10, 1, 12.4358
10, 2, 8.8719
10, 3, 23.5188
10, 4, 29.7638
11, 0, 20.2776
11, 1, 31.5639
11, 2, 28.2401
11, 3, 11.9039
11, 4, 41.3233
12, 0, 11.4547
12, 1, 19.2293
12, 2, 28.9678
12, 3, 32.2875
12, 4, 3.5567
13, 0, 20.0143
13, 1, 34.0565
13, 2, 8.7841
13, 3, 12.0908
13, 4, 27.8025
14, 0, 21.3115
14, 1, 29.0969
14, 2, 14.5034
14, 3, 32.6652
14, 4, 8.2743
15, 0, 30.2695
15, 1, 38.6700
15, 2, 6.8148
15, 3, 18.9272
15, 4, 42.2497
16, 0, 6.9492
16, 1, 42.3032
16, 2, 34.3480
16, 3, 26.5430
16, 4, 18.1880
17, 0, 39.8748
17, 1, 10.7241
17, 2, 16.9297
17, 3, 32.0516
17, 4, 23.6962
18, 0, 31.1846
18, 1, 34.5053
18, 2, 8.3596
18, 3, 15.1746
18, 4, 21.4358
19, 0, 11.9107
19, 1, 42.4129
19, 2, 28.1454
19, 3, 20.3147
19, 4, 34.4288
20, 0, 12.0083
20, 1, 30.1546
20, 2, 36.9803
20, 3, 8.4259
20, 4, 20.3995
21, 0, 28.4567
21, 1, 39.7845
21, 2, 16.3011
21, 3, 7.9742
21, 4, 43.3534
22, 0, 35.2573
22, 1, 28.9953
22, 2, 3.5880
22, 3, 11.3543
22, 4, 21.0365
23, 0, 30.3918
23, 1, 24.1479
23, 2, 33.7074
23, 3, 3.6478
23, 4, 15.7843
24, 0, 12.4276
24, 1, 25.7834
24, 2, 16.0093
24, 3, 29.1079
24, 4, 35.9462
25, 0, 18.6096
25, 1, 8.4639
25, 2, 40.5188
25, 3, 11.7730
25, 4, 30.7714
26, 0, 14.0286
26, 1, 21.9512
26, 2, 7.1752
26, 3, 10.7272
26, 4, 34.0994
27, 0, 19.1044
27, 1, 28.9208
27, 2, 36.7205
27, 3, 25.3554
27, 4, 6.9703
28, 0, 11.9965
28, 1, 8.4399
28, 2, 23.6681
28, 3, 29.9174
28, 4, 15.3067
29, 0, 18.5341
29, 1, 29.8587
29, 2, 14.9532
29, 3, 7.1683
29, 4, 38.2456
30, 0, 32.1168
30, 1, 21.9767
30, 2, 12.1951
30, 3, 25.2836
30, 4, 18.4225
31, 0, 11.1616
31, 1, 7.8474
31, 2, 19.5256
31, 3, 30.8249
31, 4, 37.0616
32, 0, 29.6818
32, 1, 39.4170
32, 2, 19.8504
32, 3, 11.4558
32, 4, 23.4286
33, 0, 16.1585
33, 1, 30.3918
33, 2, 8.3544
33, 3, 33.7109
33, 4, 24.1289
34, 0, 30.0742
34, 1, 21.7091
34, 2, 42.2358
34, 3, 18.1564
34, 4, 6.8927
35, 0, 23.0171
35, 1, 16.7879
