Round, Client Index, Execution Time (s)
0, 0, 38.6686
0, 1, 16.6812
0, 2, 10.0604
0, 3, 24.3983
0, 4, 29.1399
1, 0, 8.3586
1, 1, 30.0035
1, 2, 46.2319
1, 3, 36.8964
1, 4, 19.1935
2, 0, 37.9225
2, 1, 30.0891
2, 2, 8.0297
2, 3, 18.7093
2, 4, 25.3628
3, 0, 27.7217
3, 1, 4.8922
3, 2, 37.1210
3, 3, 23.6153
3, 4, 15.7460
4, 0, 19.3841
4, 1, 37.9947
4, 2, 11.5361
4, 3, 7.4671
4, 4, 30.2583
5, 0, 29.4931
5, 1, 7.1259
5, 2, 40.1274
5, 3, 22.5892
5, 4, 14.9210
6, 0, 8.1131
6, 1, 15.0107
6, 2, 24.3569
6, 3, 35.1715
6, 4, 39.2665
7, 0, 21.0941
7, 1, 31.9057
7, 2, 42.6140
7, 3, 13.4066
7, 4, 9.3354
8, 0, 30.5492
8, 1, 10.9058
8, 2, 41.2448
8, 3, 22.6980
8, 4, 14.9884
9, 0, 8.0130
9, 1, 26.3694
9, 2, 12.7578
9, 3, 34.1029
9, 4, 19.6852
10, 0, 41.5592
10, 1, 26.6340
10, 2, 37.4688
10, 3, 6.7549
10, 4, 16.0382
11, 0, 38.3811
11, 1, 30.6483
11, 2, 22.8117
11, 3, 11.2603
11, 4, 18.1175
12, 0, 11.3384
12, 1, 29.7653
12, 2, 36.4336
12, 3, 19.1686
12, 4, 43.3579
13, 0, 12.9237
13, 1, 34.2759
13, 2, 19.5911
13, 3, 23.6698
13, 4, 5.2338
14, 0, 25.5637
14, 1, 11.1517
14, 2, 17.8360
14, 3, 29.6554
14, 4, 40.3872
15, 0, 20.3178
15, 1, 4.7958
15, 2, 37.8669
15, 3, 27.0050
15, 4, 12.4653
16, 0, 39.4553
16, 1, 23.1760
16, 2, 7.9476
16, 3, 18.4848
16, 4, 32.5338
17, 0, 10.9956
17, 1, 30.1259
17, 2, 17.6353
17, 3, 6.9235
17, 4, 22.3368
18, 0, 31.7539
18, 1, 9.5127
18, 2, 24.0378
18, 3, 16.1864
18, 4, 42.4700
19, 0, 7.7984
19, 1, 29.1787
19, 2, 33.2725
19, 3, 38.0200
19, 4, 18.4354
20, 0, 37.7771
20, 1, 44.7065
20, 2, 10.8927
20, 3, 20.2417
20, 4, 26.9171
21, 0, 15.1348
21, 1, 29.2253
21, 2, 24.4773
21, 3, 36.1587
21, 4, 8.4910
22, 0, 11.1530
22, 1, 18.9515
22, 2, 42.0556
22, 3, 26.6052
22, 4, 37.3045
23, 0, 42.0292
23, 1, 28.4214
23, 2, 35.3350
23, 3, 19.0889
23, 4, 8.4039
24, 0, 18.3070
24, 1, 36.9942
24, 2, 4.2493
24, 3, 29.1390
24, 4, 13.5697
25, 0, 10.7319
25, 1, 33.1788
25, 2, 15.4870
25, 3, 44.0587
25, 4, 26.2375
26, 0, 19.7600
26, 1, 34.4316
26, 2, 5.2234
26, 3, 13.0730
26, 4, 27.4955
27, 0, 4.9224
27, 1, 12.5880
27, 2, 23.2870
27, 3, 34.0194
27, 4, 16.6470
28, 0, 30.1778
28, 1, 40.8827
28, 2, 14.6467
28, 3, 25.4549
28, 4, 6.9577
29, 0, 11.0153
29, 1, 41.8117
29, 2, 31.1029
29, 3, 21.7557
29, 4, 15.0951
